Period as of,Assets,Liabilities,Equity,Paid-up Capital,Revenue,Profit (Loss) from Other Activities,Net Profit,EPS (Baht),ROA (%),ROE (%),Net Profit Margin (%),Symbol
Y/E 2020 31 Dec 2020,750.43,296.84,453.59,650.06,290.1,-21.83,-64.38,-0.05,-6.63,-13.25,-22.19,MPIC
Y/E 2021 31 Dec 2021,682.1,247.61,434.49,650.06,165.76,-6.5,-20.8,-0.02,-2.08,-4.68,-12.55,MPIC
9M/2022 30 Sep 2022,591.47,137.3,454.16,650.06,228.33,-19.26,19.62,0.02,5.01,7.15,8.59,MPIC
Y/E 2018 31 Dec 2018,3755.49,3371.4,236.07,2156.02,1488.04,-3.48,215.2,0.06,20.07,174.55,19.52,NATION
Y/E 2019 31 Dec 2019,1349.06,978.91,240.65,2156.02,1632.08,149.58,20.38,0.01,3.08,8.55,-0.13,NATION
Y/E 2020 31 Dec 2020,1554.41,1226.44,105.87,2156.02,1362.33,-1.06,-147.77,-0.04,-8.03,-85.29,-10.86,NATION
Y/E 2021 31 Dec 2021,1311.43,1114.0,1.19,2156.02,822.61,-0.5,-118.07,-0.03,-5.97,-220.58,-20.21,NATION
9M/2022 30 Sep 2022,1015.65,575.16,440.49,2156.02,754.91,620.04,429.07,0.11,42.58,210.8,58.64,NATION
Y/E 2020 31 Dec 2020,7480.91,5376.03,2104.68,3810.0,3216.12,4.68,633.86,16.64,10.15,30.12,19.71,ONEE
Y/E 2021 31 Dec 2021,9305.45,2459.95,6845.34,4762.5,5438.12,0.1,828.38,0.42,13.04,18.51,15.23,ONEE
9M/2022 30 Sep 2022,9294.95,2306.15,6988.62,4762.5,4780.54,1.18,593.32,0.25,11.8,16.45,12.41,ONEE
Y/E 2018 31 Dec 2018,5734.02,1389.15,4056.25,352.96,4039.26,4.01,642.78,0.18,18.12,16.85,18.23,PLANB
Y/E 2019 31 Dec 2019,7979.45,1089.48,6375.36,388.26,4919.5,-2.25,743.19,0.2,15.4,14.25,17.42,PLANB
Y/E 2020 31 Dec 2020,12250.21,6595.67,5280.18,388.26,3768.02,-11.04,140.23,0.04,2.4,2.41,3.23,PLANB
Y/E 2021 31 Dec 2021,13764.43,6404.23,7052.78,419.32,4607.41,-27.8,64.04,0.02,1.51,1.04,-0.23,PLANB
9M/2022 30 Sep 2022,15457.79,7156.94,7988.40,427.93,4642.13,-,462.10,0.11,7.05,9.30,10.19,PLANB
Y/E 2018 31 Dec 2018,2283.98,1880.87,350.3,500.0,1270.24,-0.37,-167.65,-0.34,-3.94,-47.47,-13.19,POST
Y/E 2019 31 Dec 2019,2283.89,1985.43,295.21,500.0,815.38,-2.63,-308.76,-0.62,-20.16,-95.67,-44.05,POST
Y/E 2020 31 Dec 2020,1768.34,2009.64,-230.21,500.0,465.94,0.49,-364.94,-0.73,-14.65,-1122.91,-80.43,POST
Y/E 2021 31 Dec 2021,390.07,657.51,-266.20,500.00,437.80,180.80,-108.20,-0.22,8.90,-,-24.54,POST
9M/2022 30 Sep 2022,372.63,652.87,-277.47,500.00,385.00,-,-29.91,-0.06,-3.96,-,-8.05,POST
Y/E 2018 31 Dec 2018,1288.62,366.63,919.28,60.45,472.77,0.77,74.4,1.23,7.21,8.13,15.84,PRAKIT
Y/E 2019 31 Dec 2019,1262.96,357.57,904.04,60.45,388.61,0.47,53.73,0.89,5.06,5.89,13.91,PRAKIT
Y/E 2020 31 Dec 2020,1258.67,367.46,889.36,60.45,310.3,-1.32,22.11,0.37,2.2,2.47,7.25,PRAKIT
Y/E 2021 31 Dec 2021,1206.77,306.15,898.62,60.45,332.73,-4.3,22.7,0.38,2.45,2.54,6.87,PRAKIT
9M/2022 30 Sep 2022,1105.76,288.04,816.25,60.45,229.2,-37.15,-44.09,-0.73,-1.53,-2.49,-19.46,PRAKIT
Y/E 2018 31 Dec 2018,1198.19,618.21,579.99,110.0,1060.31,-9.28,3.09,0.03,1.36,0.5,0.33,PTECH
Y/E 2019 31 Dec 2019,1257.34,616.25,641.09,110.0,1263.78,-7.44,132.51,1.2,13.63,21.7,10.49,PTECH
Y/E 2020 31 Dec 2020,1933.33,1016.73,916.6,204.22,1639.75,-5.95,-13.02,-0.08,0.45,-1.67,-1.03,PTECH
Y/E 2021 31 Dec 2021,1465.94,188.15,1277.80,204.22,1418.71,-,-401.22,-1.96,15.83,-36.57,-28.28,PTECH
9M/2022 30 Sep 2022,1888.88,799.18,1050.46,244.87,690.57,183.09,137.25,0.59,17.88,25.53,19.86,PTECH
Y/E 2018 31 Dec 2018,2574.15,1308.51,1176.27,391.94,3368.07,9.81,14.61,0.04,1.37,1.25,0.7,SE-ED
Y/E 2019 31 Dec 2019,2472.78,1228.81,1161.23,391.94,3027.8,0.03,11.99,0.03,1.42,1.03,0.74,SE-ED
Y/E 2020 31 Dec 2020,2811.32,1625.51,1092.13,391.94,2117.79,-4.13,-33.13,-0.08,-0.09,-2.94,-0.84,SE-ED
Y/E 2021 31 Dec 2021,2547.23,1420.18,1032.17,391.94,1816.66,-2.43,-57.08,-0.15,-1.03,-5.37,-2.68,SE-ED
9M/2022 30 Sep 2022,2385.8,1246.38,1035.53,391.94,1567.69,0.17,2.94,0.01,0.58,-2.5,0.98,SE-ED
Y/E 2018 31 Dec 2018,4094.43,1432.82,2493.23,420.21,2293.01,241.17,322.84,0.79,10.71,14.92,14.1,TKS
Y/E 2019 31 Dec 2019,4239.8,1746.15,2469.02,462.23,2513.78,341.19,386.05,0.84,11.73,15.56,16.3,TKS
Y/E 2020 31 Dec 2020,4157.54,1633.16,2502.48,462.23,1907.62,241.4,228.96,0.5,6.48,9.21,12.12,TKS
Y/E 2021 31 Dec 2021,7807.4,2666.04,5127.88,462.23,1736.5,1108.31,1190.5,2.58,20.85,31.2,69.03,TKS
9M/2022 30 Sep 2022,5854.48,1335.98,4500.97,508.45,1446.69,276.98,602.97,1.19,13.98,17.39,41.88,TKS
Y/E 2019 31 Mar 2019,22687.39,6239.96,13696.27,855.67,5362.39,-20.7,1101.24,0.13,10.06,12.15,22.5,VGI
Y/E 2020 31 Mar 2020,17076.95,3999.29,12783.9,861.12,4249.76,179.02,1423.94,0.17,5.92,10.75,30.68,VGI
Y/E 2021 31 Mar 2021,20970.23,3906.98,16591.69,861.12,3243.85,338.43,979.77,0.11,5.85,6.67,27.95,VGI
Y/E 2022 31 Mar 2022,40848.3,10865.59,29133.39,861.12,4426.15,-194.02,-120.26,-0.01,-0.46,-0.53,-6.24,VGI
6M/2023 30 Sep 2022,33350.58,2792.67,27798.61,1119.45,2818.69,-152.36,93.06,0.01,-0.21,-0.13,-2.17,VGI
Y/E 2018 31 Dec 2018,3271.14,1857.37,839.53,467.95,2505.51,16.74,-188.53,-0.41,-1.26,-22.47,-3.97,WAVE
Y/E 2019 31 Dec 2019,3380.41,1850.14,835.62,467.95,1101.9,74.6,-64.11,-0.14,-0.64,-7.65,1.83,WAVE
Y/E 2020 31 Dec 2020,1928.97,1109.82,819.15,785.26,712.61,-1.72,-201.09,-0.38,-7.99,-24.3,-31.82,WAVE
Y/E 2021 31 Dec 2021,877.23,746.96,130.27,785.26,332.54,25.26,-692.76,-0.88,-45.08,-145.93,-208.33,WAVE
9M/2022 30 Sep 2022,676.25,567.37,108.88,392.63,220.7,-3.87,-24.31,-0.03,-62.89,-152.39,-11.02,WAVE
Y/E 2018 31 Dec 2018,6216.36,1668.49,4525.88,441.56,3640.36,-41.46,345.3,0.78,8.04,7.71,9.63,WORK
Y/E 2019 31 Dec 2019,5018.88,524.5,4483.63,441.56,2835.59,-29.28,159.5,0.36,3.83,3.54,5.25,WORK
Y/E 2020 31 Dec 2020,5154.11,649.66,4505.71,441.56,2336.71,28.56,159.11,0.36,3.97,3.54,6.54,WORK
Y/E 2021 31 Dec 2021,5250.56,625.61,4621.35,441.56,2312.49,-16.62,324.21,0.73,8.14,7.1,14.24,WORK
9M/2022 30 Sep 2022,5220.07,685.66,4517.85,441.56,1751.32,-32.51,135.18,0.31,3.39,2.57,7.96,WORK
Y/E 2018 31 Dec 2018,6851.50,2974.67,3277.46,958.03,2470.28,-,233.99,0.06,6.90,7.28,11.70,BWG
Y/E 2019 31 Dec 2019,7356.43,3759.45,3054.71,958.03,1905.05,-,-20.63,-0.01,1.83,-0.65,0.88,BWG
Y/E 2020 31 Dec 2020,8846.77,3670.46,3548.10,1037.78,1928.50,-,-180.62,-0.05,1.28,-5.47,-2.71,BWG
Y/E 2021 31 Dec 2021,8321.56,2885.88,3678.68,1137.78,2212.81,-,-165.53,-0.04,1.34,-4.58,-1.46,BWG
9M/2022 30 Sep 2022,8057.46,2582.89,3624.24,1137.78,1952.29,-,-54.45,-0.01,1.15,-4.33,2.50,BWG
Y/E 2018 31 Dec 2018,1650.97,209.48,1441.48,1122.3,492.85,-0.06,119.43,0.11,9.69,8.59,24.23,GENCO
Y/E 2019 31 Dec 2019,1566.96,183.53,1383.43,1122.3,298.03,-0.18,-34.81,-0.03,-1.86,-2.46,-11.68,GENCO
Y/E 2020 31 Dec 2020,1527.53,203.02,1324.51,1122.3,287.85,-4.85,-47.75,-0.04,-2.6,-3.53,-16.59,GENCO
Y/E 2021 31 Dec 2021,1508.23,175.2,1333.03,1122.3,242.71,-1.36,5.76,0.01,0.67,0.43,2.37,GENCO
9M/2022 30 Sep 2022,1552.65,218.96,1333.69,1122.3,200.48,-0.99,-14.77,-0.01,-0.6,-1.16,-7.37,GENCO
Y/E 2018 31 Dec 2018,514.15,174.66,339.97,1417.56,271.64,-,33.43,0.02,6.70,10.33,12.30,PRO
Y/E 2019 31 Dec 2019,643.77,190.82,453.46,1417.56,317.22,-,115.11,0.06,21.25,29.02,36.28,PRO
Y/E 2020 31 Dec 2020,642.87,192.37,451.03,1417.56,214.84,-0.03,-0.87,0.0,-0.08,-0.19,-0.42,PRO
Y/E 2021 31 Dec 2021,763.4,198.35,565.6,1417.56,305.12,0.03,113.88,0.06,13.31,22.4,37.31,PRO
9M/2022 30 Sep 2022,781.34,190.90,590.43,1417.56,175.88,-,18.13,0.01,7.88,18.56,10.31,PRO
Y/E 2018 31 Dec 2018,2425.31,827.29,1598.02,470.0,947.35,-2.28,103.52,0.16,6.69,11.6,10.93,SISB
Y/E 2019 31 Dec 2019,2700.66,881.77,1818.89,470.0,1129.21,3.43,220.87,0.23,8.82,12.93,19.56,SISB
Y/E 2020 31 Dec 2020,3166.15,1288.99,1877.16,470.0,1076.53,0.61,159.93,0.17,6.32,8.65,14.86,SISB
Y/E 2021 31 Dec 2021,3333.7,1319.24,2014.47,470.0,1075.18,0.74,208.75,0.22,7.21,10.73,19.42,SISB
9M/2022 30 Sep 2022,3758.74,1597.34,2161.4,470.0,946.0,3.02,240.93,0.26,8.39,12.89,25.47,SISB
Y/E 2019 31 Dec 2019,1089.92,774.04,315.88,225.0,1934.03,21.95,109.06,0.48,13.11,34.52,5.64,SO
Y/E 2020 31 Dec 2020,1534.65,665.47,869.18,310.0,2043.24,24.34,139.55,0.57,14.05,23.55,6.83,SO
Y/E 2021 31 Dec 2021,1539.7,587.82,951.88,372.0,2096.69,16.37,168.26,0.45,13.71,18.48,8.03,SO
9M/2022 30 Sep 2022,1810.55,823.30,987.25,446.39,1689.08,-,110.59,0.25,11.38,16.05,6.55,SO
Y/E 2018 31 Dec 2018,9676.24,4080.89,5427.70,320.00,1421.34,-,3.06,0.01,1.18,0.06,0.19,ASIA
Y/E 2019 31 Dec 2019,9472.21,4001.16,5306.11,320.00,1439.78,-,-55.46,-0.17,0.66,-1.03,-3.86,ASIA
Y/E 2020 31 Dec 2020,9569.27,4228.88,5182.62,320.00,893.13,-,-120.70,-0.38,0.02,-2.30,-13.69,ASIA
Y/E 2021 31 Dec 2021,10500.94,4430.37,5915.40,320.00,648.22,-,-209.09,-0.65,-0.83,-3.77,-32.49,ASIA
9M/2022 30 Sep 2022,10415.01,4337.11,5918.87,320.00,672.63,-,-109.87,-0.34,-0.34,-3.18,-16.41,ASIA
Y/E 2018 31 Dec 2018,7018.91,2315.67,4703.24,2260.0,4978.43,-8.02,-41.76,-0.18,0.5,-0.85,-0.84,BEYOND
Y/E 2019 31 Dec 2019,7514.3,2809.71,4704.59,2260.0,434.16,-83.16,-5.76,-0.02,-0.23,-0.12,-1.33,BEYOND
Y/E 2020 31 Dec 2020,7293.31,2511.52,4781.79,2260.0,447.94,109.81,80.44,0.36,2.81,1.7,17.96,BEYOND
Y/E 2021 31 Dec 2021,14105.64,7693.16,6412.48,2888.69,258.97,1115.84,877.73,3.51,8.63,15.68,338.93,BEYOND
9M/2022 30 Sep 2022,13052.4,7047.84,6004.56,2888.69,1346.01,86.04,-431.13,-1.49,4.64,2.35,-32.03,BEYOND
Y/E 2018 31 Dec 2018,26447.45,13027.77,12902.15,1350.0,21768.15,35.39,2177.61,1.61,11.33,17.82,10.45,CENTEL
Y/E 2019 31 Dec 2019,27589.6,13445.98,13670.32,1350.0,21291.05,29.4,1744.24,1.29,8.53,13.13,8.5,CENTEL
Y/E 2020 31 Dec 2020,35350.14,25134.59,9922.77,1350.0,13249.45,-20.94,-2775.11,-2.06,-8.47,-23.52,-21.87,CENTEL
Y/E 2021 31 Dec 2021,48592.54,30160.85,18076.41,1350.0,11635.4,-64.08,-1733.21,-1.28,-2.66,-12.38,-15.1,CENTEL
9M/2022 30 Sep 2022,48487.28,29656.16,18451.02,1350.0,12713.74,-66.35,-99.69,-0.07,1.65,0.29,-0.74,CENTEL
Y/E 2018 31 Dec 2018,1491.24,200.40,1290.83,205.00,176.28,-,53.01,2.59,4.59,4.12,30.07,CSR
Y/E 2019 31 Dec 2019,1492.65,188.64,1304.01,205.00,176.72,-,49.61,2.42,4.14,3.82,28.07,CSR
Y/E 2020 31 Dec 2020,1217.32,133.40,1083.91,205.00,137.18,-,23.24,1.13,2.15,1.95,16.94,CSR
Y/E 2021 31 Dec 2021,1353.84,153.64,1200.20,205.00,122.63,-,25.12,1.23,2.25,2.20,20.49,CSR
9M/2022 30 Sep 2022,1376.42,164.95,1211.47,205.00,109.30,-,26.72,1.30,3.48,3.19,24.45,CSR
Y/E 2018 31 Dec 2018,11573.05,5494.91,4970.78,850.0,5133.18,426.8,289.84,0.34,4.65,5.92,6.82,DUSIT
Y/E 2019 31 Dec 2019,14237.07,8332.58,4725.52,850.0,5295.08,791.07,320.22,0.38,7.07,6.6,11.44,DUSIT
Y/E 2020 31 Dec 2020,21860.6,17700.73,3469.43,850.0,3115.68,204.51,-1011.14,-1.2,-3.49,-24.68,-33.71,DUSIT
Y/E 2021 31 Dec 2021,23784.1,19889.39,3287.5,850.0,2661.18,781.97,-945.0,-1.12,-2.33,-27.97,-38.48,DUSIT
9M/2022 30 Sep 2022,25174.77,20235.26,4038.63,850.0,3131.37,275.44,-547.64,-0.65,-2.3,-23.16,-19.33,DUSIT
Y/E 2018 31 Dec 2018,16948.69,11240.27,5543.11,2507.72,6307.68,-3.68,536.31,0.21,6.77,9.95,9.4,ERW
Y/E 2019 31 Dec 2019,17834.26,11892.97,5762.16,2517.53,6439.07,0.31,445.57,0.18,6.09,7.88,7.81,ERW
Y/E 2020 31 Dec 2020,21214.72,17286.16,3812.74,2517.53,2348.46,-18.38,-1715.26,-0.68,-6.56,-35.83,-75.73,ERW
Y/E 2021 31 Dec 2021,22450.21,16427.49,6012.06,4531.56,1641.26,9.31,-2050.22,-0.56,-7.28,-41.74,-131.32,ERW
9M/2022 30 Sep 2022,21433.7,15867.67,5564.9,4531.56,2941.57,16.99,-463.72,-0.1,-1.33,-11.97,-16.09,ERW
Y/E 2018 31 Dec 2018,13676.97,9115.37,4496.95,3615.93,3718.44,-8.12,282.97,0.08,4.76,6.97,7.63,GRAND
Y/E 2019 31 Dec 2019,14524.82,10364.37,4101.61,3615.93,3141.52,-17.23,-303.69,-0.08,0.99,-7.06,-9.62,GRAND
Y/E 2020 31 Dec 2020,13507.76,10396.52,3057.49,3615.93,1144.25,-11.22,-1038.11,-0.29,-5.25,-29.0,-90.99,GRAND
Y/E 2021 31 Dec 2021,17596.02,13215.12,4268.9,3615.93,649.6,-28.32,-1728.31,-0.24,-9.15,-47.18,-267.06,GRAND
9M/2022 30 Sep 2022,18847.04,14776.85,3956.21,4670.56,1227.47,-13.56,-786.0,-0.09,-5.84,-50.6,-64.35,GRAND
Y/E 2018 31 Dec 2018,20832.31,8159.48,12418.82,1666.83,5479.66,65.63,80.02,0.48,1.72,0.64,1.38,LRH
Y/E 2019 31 Dec 2019,23526.32,11313.75,12072.69,1666.83,6157.82,4.78,364.1,2.18,3.22,2.97,5.82,LRH
Y/E 2020 31 Dec 2020,22871.18,12119.07,10632.58,1666.83,2886.05,2.63,-947.3,-5.68,-2.44,-8.34,-33.55,LRH
Y/E 2021 31 Dec 2021,22487.77,12665.99,9703.65,1666.83,1536.54,31.67,-1031.76,-6.19,-3.19,-10.15,-67.08,LRH
9M/2022 30 Sep 2022,22238.06,12561.74,9550.66,1666.83,3154.94,25.09,-163.74,-0.98,-0.57,-4.38,-5.23,LRH
Y/E 2018 31 Dec 2018,842.84,342.69,500.15,269.06,336.38,-4.35,20.23,0.75,4.16,4.13,6.01,MANRIN
Y/E 2019 31 Dec 2019,785.41,259.59,525.83,269.06,338.55,1.25,25.32,0.94,5.42,4.94,7.48,MANRIN
Y/E 2020 31 Dec 2020,848.84,409.78,439.06,269.06,108.86,-6.58,-74.12,-2.75,-9.24,-15.36,-68.09,MANRIN
Y/E 2021 31 Dec 2021,835.44,445.23,390.22,269.06,25.8,53.21,-48.84,-1.82,-5.73,-11.78,-189.3,MANRIN
9M/2022 30 Sep 2022,807.07,463.70,343.37,269.06,96.39,-,-46.85,-1.74,-7.28,-18.30,-48.60,MANRIN
Y/E 2018 31 Dec 2018,1868.37,1080.54,787.84,150.98,2208.99,27.54,259.73,17.2,17.35,33.47,11.76,OHTL
Y/E 2019 31 Dec 2019,3201.26,2937.51,263.76,150.98,1310.89,27.84,-370.92,-24.57,-17.54,-70.54,-28.3,OHTL
Y/E 2020 31 Dec 2020,6742.07,4618.43,2123.64,150.98,914.14,-34.54,-480.12,-31.8,-9.97,-40.22,-52.52,OHTL
Y/E 2021 31 Dec 2021,6303.01,4743.92,1559.1,150.98,562.37,-42.63,-620.64,-41.11,-8.99,-33.71,-110.36,OHTL
9M/2022 30 Sep 2022,6099.48,4711.96,1387.52,150.98,1068.61,-1.91,-178.47,-11.82,-2.95,-20.0,-16.7,OHTL
Y/E 2018 31 Dec 2018,1166.26,226.57,934.20,937.50,943.52,-,141.87,1.51,15.07,15.45,15.02,ROH
Y/E 2019 31 Dec 2019,1222.76,268.19,954.52,937.50,986.52,-,147.42,1.57,15.23,15.61,14.94,ROH
Y/E 2020 31 Dec 2020,915.54,252.29,663.20,937.50,245.52,-,-154.65,-1.65,-17.59,-19.12,-62.99,ROH
Y/E 2021 31 Dec 2021,8003.92,5215.70,2788.16,937.50,227.28,-,-213.44,-0.23,-1.98,-12.37,-93.91,ROH
9M/2022 30 Sep 2022,8048.12,5311.25,2736.87,938.92,498.46,-,-82.57,-0.09,3.32,-8.01,-16.57,ROH
Y/E 2018 31 Dec 2018,9320.05,650.81,8611.38,1300.0,2738.13,38.14,701.46,5.4,9.7,8.17,26.44,SHANG
Y/E 2019 31 Dec 2019,9276.76,635.37,8580.26,1300.0,2634.83,20.05,644.96,4.96,8.73,7.5,24.6,SHANG
Y/E 2020 31 Dec 2020,7678.67,297.67,7318.65,1300.0,662.1,-239.07,-983.11,-7.56,-13.08,-12.37,-148.3,SHANG
Y/E 2021 31 Dec 2021,7577.45,326.29,7137.52,1300.0,355.87,-53.95,-492.81,-3.79,-8.02,-6.82,-136.67,SHANG
9M/2022 30 Sep 2022,7787.87,408.77,7266.98,1300.0,667.87,-8.03,-69.05,-0.53,-4.49,-3.42,-9.83,SHANG
Y/E 2018 31 Dec 2018,24389.65,12405.93,11983.72,10780.92,3065.29,83.56,232.04,38.07,3.19,1.94,14.68,SHR
Y/E 2019 31 Dec 2019,29161.64,11238.86,17922.78,17968.2,4017.9,20.25,-466.85,-0.2,0.36,-3.12,-11.62,SHR
Y/E 2020 31 Dec 2020,27117.27,11441.33,15675.94,17968.2,2215.68,-172.1,-2370.67,-0.66,-7.1,-14.11,-107.0,SHR
Y/E 2021 31 Dec 2021,37214.12,21332.26,15881.86,17968.2,4689.55,-2.89,-1234.22,-0.34,-2.09,-7.82,-26.32,SHR
9M/2022 30 Sep 2022,38433.02,21349.95,17083.08,17968.2,6260.42,-17.04,-93.48,-0.03,1.23,-0.98,-1.49,SHR
Y/E 2018 31 Dec 2018,4781.37,3440.77,1340.60,1223.41,2431.30,-,235.78,0.96,8.32,17.59,9.70,VRANDA
Y/E 2019 31 Dec 2019,5453.62,3364.88,2088.74,1598.41,1746.90,-,83.19,0.28,3.24,4.85,4.76,VRANDA
Y/E 2020 31 Dec 2020,5353.74,3284.50,2069.25,1598.41,2002.93,-,18.67,0.06,1.96,0.90,0.93,VRANDA
Y/E 2021 31 Dec 2021,4795.43,2865.40,1930.03,1598.41,1307.47,-,-107.25,-0.34,-1.27,-5.36,-8.20,VRANDA
9M/2022 30 Sep 2022,4558.18,2645.76,1912.42,1598.41,960.68,-,-17.61,-0.06,1.16,-0.26,-1.83,VRANDA
Y/E 2018 31 Dec 2018,61746.72,33123.92,20455.36,485.0,39949.8,250.4,69.97,0.01,1.06,0.33,0.32,AAV
Y/E 2019 31 Dec 2019,62902.56,35214.09,19943.88,485.0,41202.63,350.47,-474.0,-0.1,-0.16,-2.35,-2.1,AAV
Y/E 2020 31 Dec 2020,67977.67,50617.36,14266.11,485.00,16260.96,-,-4764.09,-0.98,-11.50,-27.85,-53.30,AAV
Y/E 2021 31 Dec 2021,71208.33,54379.53,20201.10,987.86,4558.62,-,-6647.49,-1.30,-16.96,-38.57,-262.32,AAV
9M/2022 30 Sep 2022,66670.81,61956.02,4714.79,1173.57,9525.39,-,-11144.39,-0.97,-22.62,-180.36,-118.93,AAV
Y/E 2018 30 Sep 2018,187708.55,43439.43,143902.78,14285.7,61918.81,217.12,25170.76,1.76,17.56,18.29,40.74,AOT
Y/E 2019 30 Sep 2019,198381.56,43842.92,153899.11,14285.7,64384.75,182.04,25026.37,1.75,16.73,16.81,38.98,AOT
Y/E 2020 30 Sep 2020,173558.57,30526.9,142235.58,14285.7,33129.95,145.56,4320.68,0.3,3.22,2.92,12.97,AOT
Y/E 2021 30 Sep 2021,195085.77,81664.39,112343.77,14285.7,7715.73,-51.08,-16322.01,-1.14,-9.53,-12.82,-212.19,AOT
Y/E 2022 30 Sep 2022,183812.92,81294.32,101323.97,14285.7,16992.5,258.17,-11087.87,-0.78,-5.77,-10.38,-64.59,AOT
Y/E 2018 31 Dec 2018,759.08,295.05,462.07,258.29,524.90,-,32.67,0.13,6.42,6.93,6.30,ASIMAR
Y/E 2019 31 Dec 2019,755.16,326.22,427.53,258.29,440.77,-,1.01,0.00,1.39,0.23,0.24,ASIMAR
Y/E 2020 31 Dec 2020,718.29,274.91,441.89,258.29,493.70,-,30.62,0.12,6.37,7.04,6.22,ASIMAR
Y/E 2021 31 Dec 2021,712.00,272.92,437.62,258.29,528.22,-,21.56,0.08,4.62,4.90,4.08,ASIMAR
9M/2022 30 Sep 2022,841.91,423.63,416.79,258.29,537.48,-,5.01,0.02,2.50,2.38,0.93,ASIMAR
Y/E 2018 31 Dec 2018,801.36,241.2,560.16,592.8,570.84,2.14,-49.01,-0.06,-6.79,-10.76,-8.59,B
Y/E 2019 31 Dec 2019,931.67,249.06,682.61,904.02,392.84,2.0,-28.59,-0.03,-2.62,-4.6,-7.28,B
Y/E 2020 31 Dec 2020,936.73,312.14,624.59,904.02,349.54,-12.75,-57.09,-0.04,-4.81,-8.74,-16.33,B
Y/E 2021 31 Dec 2021,1353.23,178.18,1116.92,1437.83,247.59,156.08,129.52,0.1,12.41,14.87,52.26,B
9M/2022 30 Sep 2022,2373.2,241.4,2061.44,2352.98,178.46,63.51,34.66,0.01,3.41,3.47,18.04,B
Y/E 2018 31 Dec 2018,62067.02,31288.87,30710.81,2100.0,27394.09,1352.07,249.26,0.12,3.72,0.84,0.96,BA
Y/E 2019 31 Dec 2019,61907.73,31903.24,29947.94,2100.0,26618.45,2797.38,350.83,0.17,4.02,1.16,1.34,BA
Y/E 2020 31 Dec 2020,50601.58,30995.98,19591.31,2100.0,10022.51,-863.04,-5283.18,-2.56,-7.31,-21.33,-53.16,BA
Y/E 2021 31 Dec 2021,48939.1,35777.16,13198.32,2100.0,5145.64,2565.3,-8549.86,-4.15,-14.97,-52.15,-167.13,BA
9M/2022 30 Sep 2022,62179.47,45374.51,16855.41,2100.0,8123.26,-107.09,-2260.36,-1.08,-2.04,-16.05,-28.0,BA
Y/E 2018 31 Dec 2018,103830.91,68218.88,35498.77,15285.0,18586.29,933.83,5317.04,0.35,8.27,15.98,28.71,BEM
Y/E 2019 31 Dec 2019,111696.77,72873.59,38780.72,15285.0,20221.19,355.32,5434.82,0.36,8.29,14.63,26.96,BEM
Y/E 2020 31 Dec 2020,113615.76,75582.03,37991.4,15285.0,14316.16,6.41,2051.09,0.13,4.04,5.34,14.35,BEM
Y/E 2021 31 Dec 2021,115088.50,77389.67,37697.28,15285.00,11481.59,-,1010.10,0.07,2.91,2.67,8.81,BEM
9M/2022 30 Sep 2022,116470.84,78708.01,37761.22,15285.00,10808.44,-,1833.00,0.12,4.28,5.89,16.96,BEM
Y/E 2018 31 Dec 2018,1734.42,1371.98,196.21,422.39,305.36,4.43,-60.96,-0.45,-0.67,-26.77,-19.61,BIOTEC
Y/E 2019 31 Dec 2019,1645.47,1353.87,135.51,422.39,350.84,-22.69,-48.52,-0.36,0.11,-29.26,-13.35,BIOTEC
Y/E 2020 31 Dec 2020,1545.98,1313.57,77.24,955.72,215.44,2.68,-140.22,-0.99,-6.84,-131.81,-65.24,BIOTEC
Y/E 2021 31 Dec 2021,1840.04,957.11,701.11,6371.41,335.33,251.3,69.01,0.18,5.8,17.73,23.17,BIOTEC
9M/2022 30 Sep 2022,2827.84,1599.41,972.86,7222.12,3090.35,55.01,145.68,0.07,13.38,34.62,6.73,BIOTEC
Y/E 2019 31 Mar 2019,144314.85,92164.46,38746.62,47381.48,48618.31,822.67,2872.95,0.24,4.86,7.24,7.33,BTS
Y/E 2020 31 Mar 2020,173100.48,105854.89,54923.01,52617.18,38680.65,5593.44,8161.75,0.65,7.28,17.43,22.8,BTS
Y/E 2021 31 Mar 2021,212062.43,136025.07,60161.68,52644.52,42379.1,-1664.42,4576.27,0.35,5.09,7.95,12.65,BTS
Y/E 2022 31 Mar 2022,255866.57,169739.04,62062.84,52657.91,31194.5,-131.44,3825.58,0.29,3.55,6.26,12.44,BTS
6M/2023 30 Sep 2022,257741.9,170659.27,61235.59,52670.55,11193.31,96.68,1010.07,0.08,3.12,4.76,9.07,BTS
Y/E 2019 31 Mar 2019,60278.43,159.12,-,-,4620.65,-6300.03,-,-,-,-,-,BTSGIF
Y/E 2020 31 Mar 2020,53461.62,53.57,-,-,4818.74,-6729.85,-,-,-,-,-,BTSGIF
Y/E 2021 31 Mar 2021,45479.45,157.54,-,-,2112.61,-7872.04,-,-,-,-,-,BTSGIF
Y/E 2022 31 Mar 2022,39383.12,35.43,-,-,945.02,-6050.54,-,-,-,-,-,BTSGIF
6M/2023 30 Sep 2022,38618.95,11.18,-,-,1443.97,-1229.98,-,-,-,-,-,BTSGIF
Y/E 2020 31 Dec 2020,10660.76,3052.98,7607.78,5414.41,2063.23,-,791.43,0.76,10.28,10.40,38.36,DMT
Y/E 2021 31 Dec 2021,10256.05,682.69,9573.36,6142.41,1212.38,-,404.30,0.36,4.91,4.71,33.35,DMT
